songid,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc1_skew,mfcc2_skew,mfcc3_skew,mfcc4_skew,mfcc5_skew,mfcc6_skew,mfcc7_skew,mfcc8_skew,mfcc9_skew,mfcc10_skew,mfcc11_skew,mfcc12_skew,mfcc13_skew,mfcc1_kurtosis,mfcc2_kurtosis,mfcc3_kurtosis,mfcc4_kurtosis,mfcc5_kurtosis,mfcc6_kurtosis,mfcc7_kurtosis,mfcc8_kurtosis,mfcc9_kurtosis,mfcc10_kurtosis,mfcc11_kurtosis,mfcc12_kurtosis,mfcc13_kurtosis,valence_mean,arousal_mean
746,7.66082379755062e-08,3.201831475507788e-07,-3.142902116337609e-08,-3.142902116337609e-08,-3.9286276454220115e-09,1.3750196536932435e-08,2.946470623044206e-08,3.7321960633107665e-08,-1.1785882492176825e-08,0.0,-2.357176498435365e-08,3.9286276454220115e-09,7.857255290844023e-09,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,-1.1524266004562378,-0.5242276191711426,0.32528021931648254,0.36709871888160706,-0.2204619199037552,-0.02828044258058071,0.045880794525146484,-0.07625077664852142,0.13560475409030914,-0.24516212940216064,-0.1275552660226822,-0.35495781898498535,0.16891096532344818,8.788786888122559,1.1597585678100586,0.31687331199645996,0.08592677116394043,0.1439206600189209,0.29202985763549805,0.33975696563720703,0.17760443687438965,0.00011801719665527344,-0.008857488632202148,-0.10728311538696289,0.13582253456115723,0.3879828453063965,3.7,4.6
1588,3.149389016243731e-08,3.149389016243731e-08,1.5746945081218655e-08,-6.298778032487462e-08,-6.298778032487462e-08,-5.905103961367786e-08,0.0,3.5430623768206715e-08,7.873472540609328e-09,-5.117756884942537e-08,-7.873472540609328e-09,-7.87347218533796e-08,-7.873472540609328e-09,0.9999999403953552,1.0,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,-1.720621943473816,0.34053587913513184,0.2346198707818985,0.10111737251281738,0.10405132174491882,0.2566734850406647,-0.18551596999168396,0.4727535843849182,-0.12441796064376831,0.1424998641014099,-0.13595202565193176,-0.20326271653175354,0.1342429220676422,2.7354230880737305,2.566258430480957,-0.1577591896057129,-0.5816757678985596,-0.1675264835357666,0.31737518310546875,0.05111575126647949,0.2182931900024414,0.46396851539611816,0.0553288459777832,0.07132172584533691,0.7489790916442871,0.6562933921813965,4.9,5.8
1563,1.8108985955223034e-07,1.96836804633449e-08,6.101940641656256e-08,1.2400718674143718e-07,-1.5746945081218655e-08,1.4172249507282686e-07,-7.873472540609328e-09,-1.5746945081218655e-08,-6.298778032487462e-08,7.87347218533796e-08,1.5746945081218655e-08,-7.873472540609328e-09,-3.149389016243731e-08,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,-0.13978096842765808,0.029003877192735672,0.22088898718357086,-0.3219073414802551,-0.32679787278175354,0.008297569118440151,-0.2408994436264038,-0.01945710927248001,0.025943903252482414,-0.003980732057243586,-0.8992279171943665,-0.3804442286491394,0.010996595025062561,-1.0900617837905884,-0.9380960464477539,-0.7906653881072998,0.2610955238342285,0.49903178215026855,0.6196165084838867,0.0941324234008789,0.10643410682678223,-0.11469531059265137,0.3136885166168213,1.3165969848632812,0.4327726364135742,-0.0018911361694335938,5.1,5.7
1205,-5.5114306007908453e-08,1.5746945081218655e-08,-5.905103961367786e-08,6.298778032487462e-08,-3.936736270304664e-09,-3.5430623768206715e-08,3.936736270304664e-09,-3.93673609266898e-08,-7.873472540609328e-09,-4.92092033788083e-10,-1.96836804633449e-08,1.968368135152332e-09,0.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896,1.0,-0.33959680795669556,-0.4235020875930786,0.0976569801568985,-0.386772483587265,-0.46486490964889526,-0.23277774453163147,-0.13511228561401367,-0.3629416823387146,0.24833954870700836,0.135477676987648,0.321142315864563,0.29100513458251953,0.18671321868896484,-0.09805154800415039,1.2278647422790527,0.0035898685455322266,0.7190713882446289,0.4589574337005615,-0.1491529941558838,0.4438357353210449,0.21689748764038086,0.015164613723754883,0.07290244102478027,0.2337346076965332,-0.027277708053588867,-0.11633181571960449,6.0,5.7
791,3.417905816149869e-07,-7.817968707968248e-07,3.142902116337609e-08,7.071529495306095e-08,7.857255290844023e-09,2.357176498435365e-08,3.9286273789684856e-08,9.42870599374146e-08,5.500078614772974e-08,-3.142902116337609e-08,-7.071529495306095e-08,1.3750196536932435e-08,-1.1000157229545948e-07,0.9999999403953552,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,-0.5474990606307983,-2.1476359367370605,0.6842390298843384,0.21019966900348663,-0.7509413957595825,0.04239126294851303,-0.26819419860839844,-0.7739210724830627,-0.3342822194099426,0.08808441460132599,0.12256652861833572,-0.15419842302799225,-0.04965216666460037,1.2036080360412598,12.379401206970215,0.35382080078125,-0.13100171089172363,0.7013571262359619,-0.36975526809692383,0.8022236824035645,2.2310829162597656,-0.1438734531402588,0.3860478401184082,-0.13454961776733398,0.35756683349609375,-0.05649590492248535,2.7,4.6
949,5.500078614772974e-08,-7.464392126621533e-08,5.892941246088412e-08,3.437548912188504e-08,-3.9286276454220115e-09,-7.857255290844023e-09,-4.3214903655552916e-08,3.241117596530785e-08,7.857255290844023e-09,-3.9286276454220115e-09,1.9643136894842428e-08,5.500078614772974e-08,-7.071529495306095e-08,1.0,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0996334552764893,0.04944860562682152,0.4091004431247711,0.2802078425884247,0.31089115142822266,0.3614744544029236,0.13020017743110657,0.16102400422096252,0.3857599198818207,-0.14548727869987488,0.10755268484354019,0.06359376013278961,0.3226356506347656,8.205841064453125,-0.3138575553894043,0.5275952816009521,0.21139073371887207,0.268951416015625,-0.4664127826690674,0.19408440589904785,-0.33868861198425293,-0.021039247512817383,-0.1733250617980957,-0.2869844436645508,0.3520352840423584,0.09089994430541992,5.7,6.1
1211,-2.598245885110373e-07,1.1022861201581691e-07,7.873472540609328e-09,-4.330409808517288e-08,-2.3620415845471143e-08,-1.5746945081218655e-08,-1.5746945081218655e-08,7.086124753641343e-08,-1.5746945081218655e-08,-7.873472540609328e-09,0.0,-5.5114306007908453e-08,6.298778032487462e-08,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,-0.42762306332588196,-0.23316535353660583,0.24562707543373108,0.12307003885507584,-0.8569740056991577,0.26489630341529846,-0.3244321346282959,0.27160826325416565,-0.051584333181381226,0.19260013103485107,0.3558734953403473,0.29444414377212524,0.20853500068187714,0.20258212089538574,-0.14264607429504395,0.5339746475219727,0.0033376216888427734,1.525522232055664,0.45028066635131836,0.8626174926757812,-0.13826465606689453,0.15341877937316895,0.24378299713134766,0.28138113021850586,0.04312252998352051,0.39255785942077637,5.5,4.7
1577,1.5714510581688046e-08,-1.1000157229545948e-07,-3.142902116337609e-08,1.5714509515873942e-07,-4.71435299687073e-08,7.66082379755062e-08,-5.500078614772974e-08,1.5714510581688046e-08,7.857255290844023e-09,-1.9643136894842428e-08,1.5714510581688046e-08,3.142902116337609e-08,-3.142902116337609e-08,1.0,1.0,1.0,0.9999999403953552,0.9999998807907104,0.9999999403953552,1.0,0.9999999403953552,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,-0.04294406622648239,-0.10243695229291916,0.48924195766448975,-0.33244359493255615,0.1214444637298584,-0.2731749415397644,-0.025393730029463768,-1.1239022016525269,-0.13118676841259003,0.12776395678520203,-0.12389498949050903,-0.5263943076133728,-0.2940361201763153,-0.22849297523498535,-0.41991591453552246,0.2370922565460205,-0.10244131088256836,0.5414113998413086,0.15833044052124023,0.1654670238494873,5.099780082702637,0.012471914291381836,2.510241985321045,-0.05126547813415527,0.05313920974731445,-0.32640957832336426,5.2,4.7
1239,-2.3620415845471143e-08,-7.873472540609328e-09,0.0,-3.936736270304664e-09,-2.3620415845471143e-08,7.086124753641343e-08,-1.96836804633449e-08,9.84184023167245e-09,1.5746945081218655e-08,1.5746945081218655e-08,7.873472540609328e-09,0.0,2.3620415845471143e-08,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896,0.9999999403953552,1.0,-0.5447306632995605,0.3887031674385071,-0.7674394845962524,0.04317409545183182,-0.43911609053611755,-0.21768750250339508,-0.41713640093803406,0.10703025758266449,-0.08152300864458084,0.13219547271728516,0.5214517116546631,-0.24363787472248077,-0.3156436085700989,0.05388903617858887,0.6074373722076416,0.8293731212615967,0.5008578300476074,0.6009292602539062,0.11755895614624023,0.5544905662536621,0.6416196823120117,-0.0439763069152832,0.4061105251312256,0.008523225784301758,0.5840327739715576,0.6672637462615967,6.3,6.7
961,-1.7285961462221167e-07,3.142902116337609e-08,6.285804232675218e-08,-9.42870599374146e-08,3.142902116337609e-08,0.0,-3.142902116337609e-08,0.0,1.5714510581688046e-08,-3.142902116337609e-08,0.0,0.0,-1.5714510581688046e-08,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0,-0.03267635032534599,-0.335008442401886,0.6166825890541077,0.030142536386847496,0.14784568548202515,-0.0233568474650383,0.12580643594264984,-0.04492394998669624,0.2707486152648926,0.27443915605545044,0.2938375174999237,0.24154944717884064,0.6252240538597107,2.185159206390381,-1.2768223285675049,-0.7543251514434814,0.45125436782836914,-1.115488052368164,-1.158696174621582,-0.8977293968200684,-1.4774982929229736,-0.6663751602172852,-0.9174144268035889,-0.3912045955657959,-0.6392877101898193,0.38710927963256836,5.6,5.5
